Year,Semester,Exam 1,Exam 2,Exam 3,Homework,Attendance,FinalExam,FinalGrade
2016,Fall,70,87,70,63,99,90,84
2016,Fall,60,61,45,46,30,10,47
2016,Fall,80,68,30,56,91,88,73
2016,Fall,70,70,55,54,98,60,70
2016,Fall,95,98,93,75,100,81,94
2016,Fall,100,100,85,76,95,85,94
2016,Fall,80,94,100,81,98,93,95
2016,Fall,85,85,75,84,95,90,90
2016,Fall,55,68,25,23,44,0,39
2016,Fall,85,75,50,56,84,87,77
2016,Fall,60,60,82,66,98,95,80
2016,Fall,75,80,79,85,100,95,90
2016,Fall,65,91,80,86,100,97,92
2016,Fall,80,75,98,73,95,88,88
2016,Fall,85,88,60,88,91,60,83
2016,Fall,50,43,38,40,88,93,62
2016,Fall,60,60,0,8,13,72,43
2016,Fall,50,65,70,60,91,80,73
2016,Fall,75,94,90,63,99,95,90
2016,Fall,80,88,98,64,40,77,81
2016,Fall,100,95,98,40,90,97,90
2016,Fall,75,68,60,65,40,88,73
2016,Fall,55,80,60,89,98,85,83
2016,Fall,75,50,68,56,88,85,73
2016,Fall,75,78,55,61,95,92,80
2016,Fall,80,68,63,64,96,78,78
2016,Fall,85,83,95,70,100,95,92
2016,Fall,55,60,50,71,43,93,70
2016,Fall,103,79,65,34,34,77,71
2016,Fall,70,73,30,85,94,77,76
2016,Fall,87,67,70,88,95,93,83
2016,Fall,82,90,55,56,81,90,76
2016,Fall,77,57,55,90,98,88,76
2016,Fall,67,60,45,74,89,100,72
2016,Fall,92,86,80,96,98,94,91
2016,Fall,87,79,85,98,90,98,90
2016,Fall,77,75,75,56,90,88,76
2016,Fall,87,81,65,68,98,93,81
2016,Fall,77,60,35,83,98,77,70
2016,Fall,62,70,77,69,99,71,73
2016,Fall,87,88,40,96,100,87,83
2016,Fall,67,61,65,93,99,82,77
2016,Fall,84,73,0,18,19,0,32
2016,Fall,87,85,80,74,47,92,80
2016,Fall,57,63,50,91,91,72,70
2016,Fall,57,57,58,88,90,74,70
2016,Fall,77,70,30,55,85,53,60
2016,Fall,97,73,70,84,96,81,82
2016,Fall,87,84,70,87,98,78,83
2016,Fall,57,67,40,75,98,96,72
2016,Fall,87,65,65,61,93,89,75
2016,Fall,72,77,40,78,100,77,73
2016,Fall,57,93,70,74,99,73,77
2016,Fall,52,75,50,74,100,75,70
2016,Fall,87,68,78,87,96,84,82
2016,Fall,37,60,30,59,83,26,47
2016,Fall,62,47,30,83,95,63,62
2016,Fall,80,93,89,89,99,92,90
2016,Fall,57,80,78,91,96,83,81
2016,Fall,47,74,35,90,90,82,71
2016,Fall,92,75,92,49,33,92,74
2016,Fall,72,63,0,61,29,0,38
2016,Fall,87,92,80,89,93,100,90
2016,Fall,75,78,55,78,98,89,78
2016,Fall,47,50,63,91,94,90,72
2016,Fall,52,60,65,64,50,88,65
2016,Fall,100,88,88,91,99,90,92
2016,Spring,95,65,55,90,100,65,80
2016,Spring,98,91,82,85,100,50,85
2016,Spring,95,85,45,85,100,65,81
2016,Spring,90,20,80,51,92,63,62
2016,Spring,90,56,57,89,88,65,77
2016,Spring,80,105,75,82,88,65,86
2016,Spring,100,95,84,94,88,72,90
2016,Spring,90,95,72,81,84,81,83
2016,Spring,100,70,65,86,100,72,83
2016,Spring,80,106,80,93,100,80,93
2016,Spring,75,60,35,87,80,45,67
2016,Spring,75,90,45,85,76,62,77
2016,Spring,100,100,92,92,100,84,97
2016,Spring,90,20,72,66,92,75,67
2016,Spring,95,60,76,90,92,51,76
2016,Spring,86,87,79,87,88,88,90
